"Caller","Calls","CallerFile"
"sp_AuditProvenanceChain","sp_AuditProvenanceChain","dbo.sp_AuditProvenanceChain.sql"
"sp_Act","sp_Act","dbo.sp_Act.sql"
"sp_MultiModelEnsemble","sp_MultiModelEnsemble","dbo.sp_MultiModelEnsemble.sql"
"sp_GenerateText","sp_GenerateText","dbo.sp_GenerateText.sql"
"sp_GetModelPerformanceMetrics","sp_GetModelPerformanceMetrics","dbo.sp_GetModelPerformanceMetrics.sql"
"sp_Analyze","sp_Analyze","dbo.sp_Analyze.sql"
"sp_InferenceHistory","sp_InferenceHistory","dbo.sp_InferenceHistory.sql"
"sp_ValidateOperationProvenance","sp_ValidateOperationProvenance","dbo.sp_ValidateOperationProvenance.sql"
"sp_DetectDuplicates","sp_DetectDuplicates","dbo.sp_DetectDuplicates.sql"
"sp_AtomizeCode","sp_AtomizeCode","dbo.sp_AtomizeCode.sql"
"sp_RestoreWeightSnapshot","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_RestoreWeightSnapshot","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_RestoreWeightSnapshot","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_RestoreWeightSnapshot","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_GenerateTextSpatial","sp_GenerateTextSpatial","dbo.sp_GenerateTextSpatial.sql"
"sp_GenerateTextSpatial","sp_SpatialNextToken","dbo.sp_GenerateTextSpatial.sql"
"sp_GenerateUsageReport","sp_GenerateUsageReport","dbo.sp_GenerateUsageReport.sql"
"sp_SelfConsistencyReasoning","sp_SelfConsistencyReasoning","dbo.sp_SelfConsistencyReasoning.sql"
"sp_SelfConsistencyReasoning","sp_GenerateText","dbo.sp_SelfConsistencyReasoning.sql"
"sp_SelfConsistencyReasoning","sp_TextToEmbedding","dbo.sp_SelfConsistencyReasoning.sql"
"sp_ExtractMetadata","sp_ExtractMetadata","dbo.sp_ExtractMetadata.sql"
"sp_ExportProvenance","sp_ExportProvenance","dbo.sp_ExportProvenance.sql"
"sp_EnqueueNeo4jSync","sp_EnqueueNeo4jSync","dbo.sp_EnqueueNeo4jSync.sql"
"sp_SpatialNextToken","sp_SpatialNextToken","dbo.sp_SpatialNextToken.sql"
"sp_Converse","sp_Converse","dbo.sp_Converse.sql"
"sp_Converse","sp_GenerateText","dbo.sp_Converse.sql"
"sp_CognitiveActivation","sp_CognitiveActivation","dbo.sp_CognitiveActivation.sql"
"sp_TransformerStyleInference","sp_TransformerStyleInference","dbo.sp_TransformerStyleInference.sql"
"sp_TransformerStyleInference","sp_GenerateWithAttention","dbo.sp_TransformerStyleInference.sql"
"sp_TransformerStyleInference","sp_GenerateText","dbo.sp_TransformerStyleInference.sql"
"sp_TextToEmbedding","sp_TextToEmbedding","Embedding.TextToVector.sql"
"sp_LinkProvenance","sp_LinkProvenance","dbo.sp_LinkProvenance.sql"
"sp_ExactVectorSearch","sp_ExactVectorSearch","dbo.sp_ExactVectorSearch.sql"
"sp_MultiPathReasoning","sp_MultiPathReasoning","dbo.sp_MultiPathReasoning.sql"
"sp_MultiPathReasoning","sp_GenerateText","dbo.sp_MultiPathReasoning.sql"
"sp_FusionSearch","sp_FusionSearch","dbo.sp_FusionSearch.sql"
"sp_CrossModalQuery","sp_CrossModalQuery","dbo.sp_CrossModalQuery.sql"
"sp_GenerateWithAttention","sp_GenerateWithAttention","dbo.sp_GenerateWithAttention.sql"
"sp_EnqueueIngestion","sp_EnqueueIngestion","dbo.sp_EnqueueIngestion.sql"
"sp_FindImpactedAtoms","sp_FindImpactedAtoms","dbo.sp_FindImpactedAtoms.sql"
"sp_SemanticFilteredSearch","sp_SemanticFilteredSearch","dbo.sp_SemanticFilteredSearch.sql"
"sp_ScoreWithModel","sp_ScoreWithModel","dbo.sp_ScoreWithModel.sql"
"sp_IngestModel","sp_IngestModel","dbo.sp_IngestModel.sql"
"sp_IngestAtoms","sp_IngestAtoms","dbo.sp_IngestAtoms.sql"
"sp_DiscoverAndBindConcepts","sp_DiscoverAndBindConcepts","dbo.sp_DiscoverAndBindConcepts.sql"
"sp_StartPrimeSearch","sp_StartPrimeSearch","dbo.sp_StartPrimeSearch.sql"
"sp_RunInference","sp_RunInference","dbo.sp_RunInference.sql"
"sp_RunInference","sp_FindNearestAtoms","dbo.sp_RunInference.sql"
"sp_CalculateBill","sp_CalculateBill","dbo.sp_CalculateBill.sql"
"sp_Hypothesize","sp_Hypothesize","dbo.sp_Hypothesize.sql"
"sp_HybridSearch","sp_HybridSearch","dbo.sp_HybridSearch.sql"
"sp_CompareModelKnowledge","sp_CompareModelKnowledge","dbo.sp_CompareModelKnowledge.sql"
"sp_UpdateInferenceJobStatus","sp_UpdateInferenceJobStatus","dbo.sp_UpdateInferenceJobStatus.sql"
"sp_FuseMultiModalStreams","sp_FuseMultiModalStreams","dbo.sp_FuseMultiModalStreams.sql"
"sp_FuseMultiModalStreams","sp_GenerateWithAttention","dbo.sp_FuseMultiModalStreams.sql"
"sp_SemanticSimilarity","sp_SemanticSimilarity","dbo.sp_SemanticSimilarity.sql"
"sp_MigratePayloadLocatorToFileStream","sp_MigratePayloadLocatorToFileStream","dbo.sp_MigratePayloadLocatorToFileStream.sql"
"sp_GetInferenceJobStatus","sp_GetInferenceJobStatus","dbo.sp_GetInferenceJobStatus.sql"
"sp_OrchestrateSensorStream","sp_OrchestrateSensorStream","dbo.sp_OrchestrateSensorStream.sql"
"sp_QueryModelWeights","sp_QueryModelWeights","dbo.sp_QueryModelWeights.sql"
"sp_TokenizeText","sp_TokenizeText","dbo.sp_TokenizeText.sql"
"sp_InsertBillingUsageRecord_Native","sp_InsertBillingUsageRecord_Native","Billing.InsertUsageRecord_Native.sql"
"sp_RollbackWeightsToTimestamp","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_RollbackWeightsToTimestamp","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_RollbackWeightsToTimestamp","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_RollbackWeightsToTimestamp","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_ChainOfThoughtReasoning","sp_ChainOfThoughtReasoning","dbo.sp_ChainOfThoughtReasoning.sql"
"sp_ChainOfThoughtReasoning","sp_GenerateText","dbo.sp_ChainOfThoughtReasoning.sql"
"sp_ChainOfThoughtReasoning","sp_TextToEmbedding","dbo.sp_ChainOfThoughtReasoning.sql"
"sp_AttentionInference","sp_AttentionInference","dbo.sp_AttentionInference.sql"
"sp_AttentionInference","sp_GenerateWithAttention","dbo.sp_AttentionInference.sql"
"sp_QueryLineage","sp_QueryLineage","dbo.sp_QueryLineage.sql"
"sp_ComputeSemanticFeatures","sp_ComputeSemanticFeatures","dbo.sp_ComputeSemanticFeatures.sql"
"sp_ListWeightSnapshots","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_FindRelatedDocuments","sp_FindRelatedDocuments","dbo.sp_FindRelatedDocuments.sql"
"sp_SubmitInferenceJob","sp_SubmitInferenceJob","dbo.sp_SubmitInferenceJob.sql"
"sp_GenerateEventsFromStream","sp_GenerateEventsFromStream","dbo.sp_GenerateEventsFromStream.sql"
"sp_FindNearestAtoms","sp_FindNearestAtoms","dbo.sp_FindNearestAtoms.sql"
"sp_GetUsageAnalytics","sp_GetUsageAnalytics","dbo.sp_GetUsageAnalytics.sql"
"sp_ComputeAllSemanticFeatures","sp_ComputeSemanticFeatures","dbo.sp_ComputeAllSemanticFeatures.sql"
"sp_SemanticSearch","sp_SemanticSearch","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_TextToEmbedding","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_ComputeSpatialProjection","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_HybridSearch","dbo.sp_SemanticSearch.sql"
"sp_TemporalVectorSearch","sp_TemporalVectorSearch","dbo.sp_TemporalVectorSearch.sql"
